rule_id,ledger_engine,ledger_rule,quantity_group,anchor_id,authority_source,enforcement_state,tol_pct,deminimis_floor_usd,hard_trigger_usd,gold_n,gold_fp_rate,measured_through,promotion_gate,auto_merge_class,effective_from_date,owner,audit_note
gav_reconciliation,gav_recon,gav_reconciliation,FV_SUM,companyfacts_fv,blocks_verified,candidate,0.05,2000000,20000000,,,,gold_n>=N_min AND gold_fp_rate<=FP_max,registry_promotion,2022-10-01,james,DORMANT until gold set: FV reconciliation vs fund denominator
cost_conservation,conservation,cost_conservation,COST_SUM,companyfacts_cost,promoted,candidate,0.05,2000000,20000000,,,,gold_n>=N_min AND gold_fp_rate<=FP_max,registry_promotion,2022-10-01,james,DORMANT until gold set: sum(position cost) vs InvestmentOwnedAtCost
html_agg,html_extract,html_agg,FV_SUM,html_agg,promoted,candidate,0.05,2000000,20000000,,,,gold_n>=N_min AND gold_fp_rate<=FP_max,registry_promotion,2022-10-01,james,DORMANT until gold set: HTML-extracted FV vs companyfacts
source_recon,source_recon,*,COUNT,source_recon_leaf,promoted,candidate,0.05,2000000,20000000,,,,gold_n>=N_min AND gold_fp_rate<=FP_max,registry_promotion,2022-10-01,james,DORMANT until gold set: source-fact reconciliation residuals (FV-bearing complement to SRC_BDC01)
A04,oracle,A04,FV_SUM,companyfacts_fv,promoted,candidate,0.05,2000000,20000000,,,,gold_n>=N_min AND gold_fp_rate<=FP_max,registry_promotion,2022-10-01,james,DORMANT until gold set: sum leaf FV vs investments_at_fair_value
E04,oracle,E04,NAV,companyfacts_nav,promoted,candidate,0.05,2000000,20000000,,,,gold_n>=N_min AND gold_fp_rate<=FP_max,registry_promotion,2022-10-01,james,DORMANT until gold set: nav*shares vs net_assets identity
