rule_id,ledger_engine,ledger_rule,quantity_group,authority_source,enforcement_state,tol_pct,deminimis_floor_usd,hard_trigger_usd,effective_from_date,owner,audit_note
R07,*,R07,FV_SUM,confirmed_impossible,blocking,,,,2022-10-01,james,positions FV exceed fund total assets -> logically impossible; row quarantine
E02,*,E02,FV_SUM,confirmed_impossible,blocking,,,,2022-10-01,james,holdings FV > total_assets*1.05 -> impossible
SRC_BDC01,row_validation,SRC_BDC01,COUNT,block_verified,blocking,0.05,2000000,20000000,2022-10-01,james,current-period BDC source row missing from output (under-inclusion); kept WIDE on purpose
GAV_BDC01,row_validation,GAV_BDC01,FV_SUM,block_verified,blocking,0.05,2000000,20000000,2022-10-01,james,GAV reconciliation verified blocker
C201,row_validation,C201,STRUCTURAL,block_verified,blocking,,,,2022-10-01,james,issuer_name missing on a position row
